Filename,ID,Category,Name,Cilia SA,Cilia Points,Cilia Points/Area,Islands,Noise_Points,MaxRadius,Aspect,Circularity,Elliptical Tendency,SurfaceArea,Cilia/Body Ratio,Polarity,Cilia Distribution Homogeneity,DeviationFromNormal,Eqn,Note-Body,Note-Cilia,Keep
Batch7_P1Movers_Bots10_36,10,Mover,Bot22,6508.379135,5393,0.1353482,164,276,30.2551864,1.3219598,0.3652096,0.2378129,39845.37247,0.1633409,0.362791,0.2360568,0.7639432,(y-x)>(-30),TWOBOT_FIXABLE,TWOBOT_FIXABLE,TRUE
Batch7_P1Movers_Bots10_36,12,Mover,Bot24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT_TOUCHING,TWOBOT_TOUCHING,FALSE
Batch7_P1Movers_Bots10_36,12,Mover,Bot25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT_TOUCHING,TWOBOT_TOUCHING,FALSE
Batch7_P1Movers_Bots10_36,21,Mover,Bot34,5882.829232,5416,0.1786551,253,452,35.0849723,1.3557256,0.3715705,0.5730746,30315.38928,0.1940542,0.2779601,0.2797191,0.7202809,x<98,TWOBOT_FIXABLE,TWOBOT_FIXABLE,TRUE
Batch7_P1Movers_Bots10_36,21,Mover,Bot35,2496.648785,1286,0.02398009,85,312,35.80092042,1.37107809,0.3796499,0.2031911,53627.8291,0.0465551,0.58313028,0.17286501,0.82713499,x>98,NOT_BRIGHT,NOT_BRIGHT,FALSE
Batch7_P2Movers_Bots1_15,13,Mover,Bot14,1001.410536,5687,0.1899497,209,274,24.4382741,1.1976558,0.1914737,0.281404,29939.50074,0.0334478,0.1963522,0.2548022,0.7451978,y<95,TWOBOT_FIXABLE,TWOBOT_FIXABLE,TRUE
Batch7_P2Movers_Bots1_15,13,Mover,Bot15,4515.18041,3003,0.08140947,145,403,28.76889819,1.29444393,0.34337196,0.20339611,36887.60029,0.12240374,0.36873941,0.24935567,0.75064433,y>95,TWOBOT_FIXABLE,TWOBOT_FIXABLE,TRUE
Batch7_P1Nonmovers_Bots1_22,0,Nonmover,Bot1,2171.793487,3606,0.1749737,150,183,20.5905576,1.2157857,0.2420365,0.2594604,20608.80993,0.1053818,0.2663765,0.2523483,0.7476517,(x)>(100)&(y)>(40),TWOBOT_FIXABLE,TWOBOT_FIXABLE,TRUE
Batch7_P1Nonmovers_Bots1_22,0,Nonmover,Bot2,1257.161817,180,0.008301476,5,143,22.8892018,1.344109513,0.370399356,0.332640552,21682.89103,0.057979437,0.303008841,0.259668508,0.740331492,(x)<(100)&(y)>(40),NOT_BRIGHT,NOT_BRIGHT,FALSE
Batch7_P1Nonmovers_Bots1_22,3,Nonmover,Bot5,831.1726241,5036,0.24618396,149,205,21.38734118,1.14986255,0.15763549,0.43792716,20456.2473,0.04063173,0.0646594,0.29817635,0.70182365,(y+x)>(210),TWOBOT_FIXABLE,TWOBOT_FIXABLE,TRUE
Batch7_P1Nonmovers_Bots1_22,3,Nonmover,Bot6,64.93974541,52,0.003360465,3,21,19.43734615,1.153543297,0.155284998,0.467664351,15474.04978,0.004196687,0.765426765,0.061538462,0.938461538,(y+x)<(210),NOT_BRIGHT,NOT_BRIGHT,FALSE
Batch7_P1Nonmovers_Bots1_22,4,Nonmover,Bot7,6995.579553,684,0.06567887,32,453,19.86226445,1.25590969,0.26632113,0.74598426,10414.3077,0.67172776,0.15485435,0.43347051,0.56652949,(y-x)>(0),TWOBOT_FIXABLE,OVEREXPOSED_FIXED,TRUE
Batch7_P1Nonmovers_Bots1_22,4,Nonmover,Bot8,4138.236018,1726,0.07218962,122,614,23.35968008,1.164269,0.16754323,0.46648694,23909.25555,0.17308092,0.20165245,0.28854167,0.71145833,(y-x)<(0),TWOBOT_FIXABLE,OVEREXPOSED_FIXED,TRUE
Batch7_P1Nonmovers_Bots1_22,7,Nonmover,Bot11,2223.678864,922,0.08448276,59,460,19.501152,1.15151629,0.17543793,0.73634694,10913.4694,0.20375545,0.2281665,0.40332031,0.59667969,(y+x)>(210),TWOBOT_FIXABLE,OVEREXPOSED_FIXED,TRUE
Batch7_P1Nonmovers_Bots1_22,7,Nonmover,Bot12,3911.654,1780,0.1627408,115,771,21.6767077,1.2869751,0.2858765,0.6576104,10937.63688,0.3576325,0.1123028,0.4230163,0.5769837,(y+x)<(210),TWOBOT_FIXABLE,OVEREXPOSED_BRIGHTNESS_TWOBOT_FIXABLE,TRUE
Batch7_P1Nonmovers_Bots1_22,9,Nonmover,Bot14,2286.127452,3647,0.2326294,139,242,22.174043,1.5002989,0.5327545,0.6546244,15677.29939,0.1458241,0.1536924,0.3287848,0.6712152,(x)>(100),TWOBOT_FIXABLE,TWOBOT_FIXABLE,TRUE
Batch7_P1Nonmovers_Bots1_22,9,Nonmover,Bot15,1089.676791,639,0.03681212,34,135,22.79852127,1.36591086,0.36152238,0.50726736,17358.41318,0.06277514,0.24920856,0.16452074,0.83547926,(x)<(100),TWOBOT_FIXABLE,BRIGHTNESS_TWOBOT_FIXABLE,TRUE
